event_id,event_date,sport,home_team,away_team,market,selection,odds_decimal,closing_odds_decimal,result
E001,2024-01-05,soccer,Arsenal,Chelsea,moneyline,Arsenal,2.10,2.00,win
E002,2024-01-05,soccer,Arsenal,Chelsea,moneyline,Chelsea,3.60,3.75,loss
E003,2024-01-06,basketball,Lakers,Celtics,moneyline,Lakers,1.90,1.85,loss
E004,2024-01-06,basketball,Lakers,Celtics,moneyline,Celtics,2.00,2.10,win
E005,2024-01-08,soccer,Bayern,Dortmund,spread,Bayern -1.5,2.20,2.15,win
E006,2024-01-09,tennis,Djokovic,Alcaraz,moneyline,Djokovic,1.60,1.55,win
E007,2024-01-10,soccer,Liverpool,Man City,moneyline,Liverpool,3.20,3.40,loss
E008,2024-01-10,soccer,Liverpool,Man City,moneyline,Man City,2.10,2.00,win
E009,2024-01-12,basketball,Warriors,Heat,moneyline,Warriors,1.75,1.70,win
E010,2024-01-13,tennis,Nadal,Medvedev,moneyline,Nadal,2.40,2.55,loss
E011,2024-01-15,soccer,Real Madrid,Barcelona,moneyline,Real Madrid,2.30,2.20,win
E012,2024-01-15,soccer,Real Madrid,Barcelona,moneyline,Barcelona,3.00,3.10,loss
E013,2024-01-17,basketball,Bucks,Nets,spread,Bucks -5.5,1.95,1.90,push
E014,2024-01-18,soccer,PSG,Lyon,moneyline,PSG,1.55,1.50,win
E015,2024-01-19,tennis,Sinner,Zverev,moneyline,Sinner,1.80,1.75,win
E016,2024-01-20,basketball,Nuggets,Thunder,moneyline,Nuggets,1.85,1.80,loss
E017,2024-01-22,soccer,Inter,Juventus,moneyline,Inter,2.00,1.95,win
E018,2024-01-22,soccer,Inter,Juventus,moneyline,Juventus,3.50,3.60,loss
E019,2024-01-24,basketball,Suns,Clippers,moneyline,Suns,2.10,2.20,win
E020,2024-01-25,tennis,Federer,Tsitsipas,moneyline,Federer,1.50,1.45,win
E021,2024-01-27,soccer,Atletico,Sevilla,spread,Atletico -1.0,2.05,2.00,loss
E022,2024-01-28,basketball,76ers,Raptors,moneyline,76ers,1.65,1.60,win
E023,2024-01-30,soccer,Man Utd,Tottenham,moneyline,Tottenham,2.80,2.90,win
E024,2024-02-01,tennis,Djokovic,Sinner,moneyline,Sinner,3.20,3.10,loss
E025,2024-02-02,basketball,Celtics,Heat,spread,Celtics -4.5,1.90,1.85,win
E026,2024-02-03,soccer,Milan,Napoli,moneyline,Milan,2.50,2.40,loss
E027,2024-02-04,soccer,Milan,Napoli,moneyline,Napoli,2.80,2.75,win
